"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"TAMIL NADU","SALEM",9838,1144,1,1,35,169,11188
"TAMIL NADU","SIVAGANGA",970,170,7,0,0,237,1384
"TAMIL NADU","THANJAVUR",25970,691,4,1,2,511,27179
"TAMIL NADU","THENI",773,2,0,0,0,4,779
"TAMIL NADU","THIRUVALLUR",2597,39,2,0,0,314,2952
"TAMIL NADU","THIRUVARUR",8885,802,1,0,0,52,9740
"TAMIL NADU","TIRUCHIRAPPALLI",1274,91,1,0,0,95,1461
"TAMIL NADU","TIRUNELVELI",456,33,2,0,0,79,570
"TAMIL NADU","TIRUVANNAMALAI",388,11,1,0,0,13,413
"TAMIL NADU","TUTICORIN DISTRICT",261,12,1,0,4,65,343
"TAMIL NADU","VELLORE",5030,84,10,0,6,409,5539
"TAMIL NADU","VILLUPPURAM",10410,155,2,1,0,5,10573
"TAMIL NADU","VIRUDHUNAGAR",250,27,0,0,0,51,328
"TRIPURA","DHALAI",1,0,0,0,0,0,1
"TRIPURA","NORTH TRIPURA",8,0,0,0,0,0,8
"TRIPURA","SOUTH TRIPURA",27,0,0,0,0,0,27
"TRIPURA","WEST TRIPURA",122,0,0,0,0,8,130
"UTTAR PRADESH","AGRA",647,205,25,0,0,32,909
"UTTAR PRADESH","ALIGARH",268,374,1,0,0,39,682
"UTTAR PRADESH","ALLAHABAD",1120,434,1,0,0,35,1590
"UTTAR PRADESH","AMBEDAKAR NAGAR",357,117,1,0,0,14,489
"UTTAR PRADESH","AURAIYA",261,242,0,2,0,0,505
"UTTAR PRADESH","AZAMGARH",321,45,1,0,0,18,385
"UTTAR PRADESH","BAGHPAT",515,2,0,0,0,3,520
"UTTAR PRADESH","BAHARAICH",356,160,0,0,0,3,519
"UTTAR PRADESH","BALLIA",619,527,2,0,0,66,1214
"UTTAR PRADESH","BALRAMPUR",116,274,0,0,0,12,402
"UTTAR PRADESH","BANDA",661,633,1,0,0,125,1420
"UTTAR PRADESH","BARABANKI",160,116,0,0,0,4,280
"UTTAR PRADESH","BAREILLY",610,90,0,0,0,81,781
"UTTAR PRADESH","BASTI",477,296,0,0,0,5,778
"UTTAR PRADESH","BIJNOR",83,713,1,0,2,1,800
"UTTAR PRADESH","BUDAUN",652,218,0,0,0,64,934
"UTTAR PRADESH","BULAND SAHAR",215,119,0,0,0,11,345
"UTTAR PRADESH","CHANDAULI",222,64,1,0,0,4,291
"UTTAR PRADESH","CHITRAKOOT",134,60,0,0,0,0,194
"UTTAR PRADESH","DEORIA",546,413,0,0,1,83,1043
"UTTAR PRADESH","ETAH",37,713,0,0,0,1,751
"UTTAR PRADESH","ETAWAH",362,224,0,0,0,0,586
"UTTAR PRADESH","FAIZABAD",487,313,0,0,0,19,819
"UTTAR PRADESH","FARRUKHABAD",323,100,0,0,0,18,441
"UTTAR PRADESH","FATEHPUR",1271,143,1,0,0,123,1538
